ID	name_text_cn	name_text_en	class1_text_cn	class1_text_en	class2_text_cn	class2_text_en	art	skill_text_cn	skill_text_en	story_text_cn	story_text_en
int	string	string	string	string	string	string	string	string	string	string	string
10001	秩序戒指	Order Rings	秩序	Order	圣物	Holy	ZZW			“万物皆有其属于自己秩序。”\n                          ——迪普米斯的信条	
10002	圣战军旗	Jihad Banner	秩序	Order	圣物	Holy	ZZW	【唯一】\n③，力竭:在你的防线上放置一个帝国新兵衍生物。	【Unique】\n③,Exhaust:Put a Empire Recruit token onto your defence-line.	这面古老的旗帜见证了帝国的辉煌，长久的战火在它身上留下了荣耀的痕迹。帝国的勇士们集结在军旗之下，向异教徒发起圣战。	
10003	拉多娜的援助	Ladonna's Aid	秩序	Order	圣物	Holy	ZZW	【唯一】\n②，力竭:治疗目标生物或玩家2点伤害。	【Unique】\n②,Exhaust:Health 2 damage to target creature or player.	“当病者、瘸子以及盲人敲她的房门，恳求帮助时，拉多娜开门迎接他们，并给以他们面包及水，倾听他们的疾苦。”\n                   ——圣典·拉多娜的赞美诗	
10004	圣战盾牌	Jihad Shield	秩序	Order	圣物	Holy	ZZW	22&【唯一】\n④，力竭:友方所有生物获得+0/+1，该技能只能在你的回合中使用。	【Unique】\n④,Exhaust:Friendly creatures get +0/+1.Activate this ability only during your turn.	受到正义之神麦里巴洛亚所祝福的圣盾，能给予穿戴者强大的保护。	
10005	苍白的正义	Pale Justice	秩序	Order	圣物	Holy	ZZW	【唯一】\n②，力竭:目标生物获得【先攻】直到回合结束。	【Unique】\n②,Exhaust:Target creature gains 【First strike】 until end of turn.	正义苍白而谦逊，但绝非无力之物。	Justice is pale and humble, but it is not a thing of weakness.
10006	拉多娜的护身符	Ladonna's Amulet	秩序	Order	圣物	Holy	ZZW	【唯一】【瞬间】\n④，力竭:抓一张牌，该技能只能在你的回合中使用。	【Unique】【Instant】\n④,Exhaust:Draw a card.Activate this ability only during your turn.	“己所不欲，勿施于人。”\n                            ——拉多娜的信条	"Do not do to others what you would not have them do to you."\n                          ——Ladonna's Creed
20001	知识戒指	Knowledge Rings	心灵	Mind	圣物	Holy	0			“戒冲动求平衡，戒愚鲁求博学，戒愤怒求冷静，戒籍力量达永生。”\n                           ——魔兰迪亚的信条	
20002	隐身斗篷	Stealth Cloak	心灵	Mind	圣物	Holy	0	【唯一】【瞬间】\n②，力竭:目标生物获得伪装直到回合结束。	【Unique】【Instant】\n②,Exhaust:Target creatures gains 【Camouflage】 until end of turn.	据说该斗篷是由艾维斯学院某位导师所制，最后辗转落到了盗贼王巴力的手中。	
20003	时光鞋	Time Shoes	心灵	Mind	圣物	Holy	0	【唯一】\n③，力竭:将目标友方生物移回手牌，该技能只能在你的回合中使用。	【Unique】\n③,Exhaust:Return target creature to your hand.Activate this ability only during your turn.	鞋子表面绣满了代表时间符文的精美刺绣。法师们认为只要说出正确的咒语，便能利用这双鞋子穿越时空。	
20004	飞行魔毯	Flying Carpet	心灵	Mind	圣物	Holy	0	【唯一】\n②，力竭:目标生物获得【飞行】直到回合结束。	【Unique】\n②,Exhaust:Target creature gains 【Flying】 until end of turn.	对于初学者来说，操控魔毯飞行可不是一件容易的事。	
20005	惧像石	Horrible Illusion Stone	心灵	Mind	圣物	Holy	0	【唯一】\n④，力竭:敌方所有生物获得-1/-0直到回合结束。	【Unique】\n④,Exhaust:Enemy creatures get -1/-0 until end of turn.	突然间，一股来自四面八方、异常强大的心灵力量涌入众人的脑海，种种既恐怖又邪恶的画面盘绕在脑海里挥之不去，这突如其来的幻象几乎让所有人的精神濒临崩溃。	
20006	心灵石	Mind Stone	心灵	Mind	圣物	Holy	0	【唯一】【瞬间】\n④，力竭:抓一张牌，该技能只能在你的回合中使用。	【Unique】【Instant】\n④,Exhaust:Draw a card.Activate this ability only during your turn.	这块宝石底面镌刻的古老精灵文字。你可以清晰的听到宝石中发出的声音，甚至可以和它交谈，然而你没办法听懂那些古怪的语言，只能把它当成噪声。	
30001	黑暗戒指	Dark Rings	黑暗	Dark	圣物	Holy	0			“善良与邪恶也只不过是相对而论罢了。”\n                          ——阿泽拉丝的信条	
30002	殉道者骨杖	Martyr Bonewand	黑暗	Dark	圣物	Holy	ISHTAIRS	【唯一】\n②，力竭:消灭目标友方生物，随机一个友方生物获得+2/+1.	【Unique】\n①,Exhaust:Destroy target friendly creature, another friendly creature get +2/+1 at random.	阿泽拉丝的大祭师常以殉道者头骨制成的法杖，举行各种邪恶的献祭仪式。	
